athlete_id,event_id,race_id,splitsMissing,maxConsecutiveSplitsMissing
31,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
159,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
160,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
191,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
192,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
193,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
194,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
195,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
L6554352,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
839A6CZB,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
Z6BC4Y62,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
A52Y8731,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
DB856D12,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
7YY8D76C,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
6B3Z3CB5,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
9532F3YD,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
C29C3BY4,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
A44YY7Z9,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
12819Y8Y,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
815115B2,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
Y19Z5DAA,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
425AD6AZ,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
Z7FYZ89Y,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
C56259CA,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
A1B18262,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
551C7DBY,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
75YYC4C5,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
2DFD33D6,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
49A7YF65,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
Z76266CB,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
FZ5YD113,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
Y26C4C2F,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
857714YB,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
AZ66FZ6C,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
FA83BC3C,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
BAAZ9413,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
B8481248,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
Y323Z117,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
C67371A7,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
C166CFAB,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
YC44F8YY,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
97D88D95,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
8AC6133Z,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
F9F6134B,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
F469CZA6,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
18Z41CD1,Mitja,b228b93e-2a15-4123-baf9-ca0915165c6a,0,0
