athlete_id,event_id,race_id,splitsMissing,maxConsecutiveSplitsMissing
7b167227-8f2b-5f8c-8d1b-6202a946d7bf,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
7b167227-8f2b-5f8c-8d1b-6202a946d7bf,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
7b167227-8f2b-5f8c-8d1b-6202a946d7bf,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
7b167227-8f2b-5f8c-8d1b-6202a946d7bf,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,2,1
7b167227-8f2b-5f8c-8d1b-6202a946d7bf,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
7b167227-8f2b-5f8c-8d1b-6202a946d7bf,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
b7d53cfe-681f-5df2-be6f-84508485715e,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
b7d53cfe-681f-5df2-be6f-84508485715e,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
b7d53cfe-681f-5df2-be6f-84508485715e,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
b7d53cfe-681f-5df2-be6f-84508485715e,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
b7d53cfe-681f-5df2-be6f-84508485715e,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
b7d53cfe-681f-5df2-be6f-84508485715e,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
9ce837a0-fbd1-517e-82b9-c9e63762c2f5,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
9ce837a0-fbd1-517e-82b9-c9e63762c2f5,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
9ce837a0-fbd1-517e-82b9-c9e63762c2f5,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
9ce837a0-fbd1-517e-82b9-c9e63762c2f5,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
9ce837a0-fbd1-517e-82b9-c9e63762c2f5,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
9ce837a0-fbd1-517e-82b9-c9e63762c2f5,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
