campo,tipo,ejemplo,cardinalidad,% missing,carreras,num_carreras
athlete_id,str,7672BF1Z,718,0.0,"['27775308-36b8-49dd-9bb6-1c9b72e1159a', '73840d47-8712-4de3-94e4-0bd3f467aedf', 'b9237ca4-693e-4b25-b350-0307be4ec892', '2def4522-a96a-4df5-92a4-d4030ec2a5be', '704ad13c-e4ec-463c-8e79-c3cb8044a616', 'ee6c309a-10c5-4934-b009-e9a9f81a3074', '7097ad2f-ef93-4e4f-9728-d07325269237', 'af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac', 'd221bcb0-4242-4ad9-aa5d-706446341917', '49603c2f-1b2b-457f-b82e-fed8bded1d3d']",Todas
event_id,str,Maratón,13,0.0,"['27775308-36b8-49dd-9bb6-1c9b72e1159a', '73840d47-8712-4de3-94e4-0bd3f467aedf', 'b9237ca4-693e-4b25-b350-0307be4ec892', '2def4522-a96a-4df5-92a4-d4030ec2a5be', '704ad13c-e4ec-463c-8e79-c3cb8044a616', 'ee6c309a-10c5-4934-b009-e9a9f81a3074', '7097ad2f-ef93-4e4f-9728-d07325269237', 'af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac', 'd221bcb0-4242-4ad9-aa5d-706446341917', '49603c2f-1b2b-457f-b82e-fed8bded1d3d']",Todas
issue_id,str,3b527e20-8c48-11ee-b875-1165c32c6066,1510,0.0,"['27775308-36b8-49dd-9bb6-1c9b72e1159a', '73840d47-8712-4de3-94e4-0bd3f467aedf', 'b9237ca4-693e-4b25-b350-0307be4ec892', '2def4522-a96a-4df5-92a4-d4030ec2a5be', '704ad13c-e4ec-463c-8e79-c3cb8044a616', 'ee6c309a-10c5-4934-b009-e9a9f81a3074', '7097ad2f-ef93-4e4f-9728-d07325269237', 'af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac', 'd221bcb0-4242-4ad9-aa5d-706446341917', '49603c2f-1b2b-457f-b82e-fed8bded1d3d']",Todas
race_id,str,27775308-36b8-49dd-9bb6-1c9b72e1159a,12,0.0,"['27775308-36b8-49dd-9bb6-1c9b72e1159a', '73840d47-8712-4de3-94e4-0bd3f467aedf', 'b9237ca4-693e-4b25-b350-0307be4ec892', '2def4522-a96a-4df5-92a4-d4030ec2a5be', '704ad13c-e4ec-463c-8e79-c3cb8044a616', 'ee6c309a-10c5-4934-b009-e9a9f81a3074', '7097ad2f-ef93-4e4f-9728-d07325269237', 'af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac', 'd221bcb0-4242-4ad9-aa5d-706446341917', '49603c2f-1b2b-457f-b82e-fed8bded1d3d']",Todas
split,str,23k,41,0.0,"['27775308-36b8-49dd-9bb6-1c9b72e1159a', '73840d47-8712-4de3-94e4-0bd3f467aedf', 'b9237ca4-693e-4b25-b350-0307be4ec892', '2def4522-a96a-4df5-92a4-d4030ec2a5be', '704ad13c-e4ec-463c-8e79-c3cb8044a616', 'ee6c309a-10c5-4934-b009-e9a9f81a3074', '7097ad2f-ef93-4e4f-9728-d07325269237', 'af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac', 'd221bcb0-4242-4ad9-aa5d-706446341917', '49603c2f-1b2b-457f-b82e-fed8bded1d3d']",Todas
time,int64,4942151,1545,0.0,"['27775308-36b8-49dd-9bb6-1c9b72e1159a', '73840d47-8712-4de3-94e4-0bd3f467aedf', 'b9237ca4-693e-4b25-b350-0307be4ec892', '2def4522-a96a-4df5-92a4-d4030ec2a5be', '704ad13c-e4ec-463c-8e79-c3cb8044a616', 'ee6c309a-10c5-4934-b009-e9a9f81a3074', '7097ad2f-ef93-4e4f-9728-d07325269237', 'af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac', 'd221bcb0-4242-4ad9-aa5d-706446341917', '49603c2f-1b2b-457f-b82e-fed8bded1d3d']",Todas
