athlete_id,event_std,splitsMissing,maxConsecutiveSplitsMissing
686Y7182,maraton,0,0
45411DDB,maraton,0,0
1F6Z94C2,maraton,0,0
C4YB14FB,maraton,0,0
YA46YZBY,maraton,0,0
B5ZC3526,maraton,0,0
3436YD3Z,maraton,0,0
7574Y3Y1,maraton,0,0
AB9Y36C7,maraton,0,0
A3ZF4FCA,maraton,0,0
7FDFA46D,maraton,0,0
47YFDZYB,maraton,0,0
A42DD4CZ,maraton,0,0
7C6683FC,maraton,0,0
D1A79685,maraton,0,0
ZCB5ZFZC,maraton,0,0
D8B87228,maraton,0,0
9D2BY87D,maraton,0,0
C96F515B,maraton,0,0
Z63FBY86,maraton,0,0
89AYB26Y,maraton,0,0
8CZB5F4C,maraton,0,0
975BDB18,maraton,0,0
66YAC95Y,maraton,0,0
Z8F46C84,maraton,0,0
279CYA95,maraton,0,0
D71F5BD6,maraton,0,0
CD7495CF,maraton,0,0
5A772B44,maraton,0,0
CC9FC6B5,maraton,0,0
BF7AY576,maraton,0,0
3Z58Y988,maraton,0,0
2B98Z8BY,maraton,0,0
ZD443F89,maraton,0,0
44AD83B6,maraton,0,0
64861Z1Z,maraton,0,0
4622F5AD,maraton,0,0
43FY9754,maraton,0,0
A2YA3Y91,maraton,0,0
6636YAZA,maraton,0,0
A4542F4Z,maraton,0,0
87251F45,maraton,0,0
B9C82A7D,maraton,0,0
AZ4CZ2DF,maraton,7,7
YDF82644,maraton,0,0
8AAAY4F5,maraton,0,0
Z27Y42Z1,maraton,0,0
DDBY28Z1,maraton,4,4
FDB619F8,maraton,0,0
13DF5C81,maraton,0,0
Y53F82FA,maraton,0,0
9Z6B9272,maraton,0,0
389C7AAB,maraton,0,0
71D9C1YY,maraton,0,0
863Z67F9,maraton,0,0
AY63428Y,maraton,0,0
7B7A5742,maraton,0,0
YBD17CA7,maraton,0,0
5CDZ6F8B,maraton,0,0
45ADDZ97,maraton,0,0
3CBY31C3,maraton,0,0
FC9B5B1F,maraton,2,1
B5AC5669,maraton,0,0
374B2AZC,maraton,0,0
F65371Y7,maraton,0,0
DA5CY4CC,maraton,0,0
234ZBY9Y,maraton,0,0
4YF3BA47,maraton,0,0
AC1Y7485,maraton,0,0
4C79112D,maraton,1,1
ACDCY54F,maraton,0,0
83A9747Y,maraton,0,0
3F39CZC5,maraton,0,0
5A152BBA,maraton,0,0
AAC89973,maraton,0,0
CA7Z9344,maraton,0,0
95ACA354,maraton,0,0
FY9AADYZ,maraton,0,0
6778B4B9,maraton,1,1
CZ985C6D,maraton,0,0
A8C74628,maraton,0,0
Y3B3Y41D,maraton,0,0
2DB38Y83,maraton,1,1
C51ZZY5Y,maraton,0,0
F7685F8D,maraton,0,0
3986Z487,maraton,0,0
1C2AB3AB,maraton,0,0
CZ33AFD4,maraton,0,0
3Y1FFZ8D,maraton,0,0
AZ1ZZ29Y,maraton,0,0
AZAC92BZ,maraton,0,0
C2775245,maraton,0,0
DDB2C63C,maraton,0,0
A7A586B6,maraton,0,0
A53Y2677,maraton,0,0
BY5F382F,maraton,0,0
27C77543,maraton,0,0
2A6FA755,maraton,0,0
B2C7A57Z,maraton,0,0
9614852F,maraton,0,0
1F71BY82,maraton,0,0
C24A9Z43,maraton,0,0
84YF49C1,maraton,0,0
YD593C4A,maraton,0,0
D63AZB91,maraton,6,6
71DF4B6C,maraton,0,0
915Y55Y9,maraton,0,0
823B3FBZ,maraton,0,0
ZY6FB8CA,maraton,0,0
5B423C57,maraton,0,0
91Z7ZC5F,maraton,0,0
45B9B93F,maraton,0,0
F123C54D,maraton,0,0
5B55DBF1,maraton,0,0
1B15Y9Y3,maraton,0,0
5F46YY7Y,maraton,0,0
17Z9D7Y8,maraton,0,0
YCF8Y72A,maraton,0,0
953A29C6,maraton,0,0
3A6937A3,maraton,0,0
4B1BB72F,maraton,0,0
CBY82967,maraton,0,0
8Z79DD4A,maraton,0,0
7AD2Y8B5,maraton,0,0
62216C78,maraton,0,0
AA8BYZ26,maraton,0,0
5D1895BC,maraton,0,0
CY5252A4,maraton,0,0
39A5215Y,maraton,0,0
2F9Y8D4D,maraton,0,0
77DAYF32,maraton,0,0
Y9DAF9F9,maraton,0,0
BA5C4FY9,maraton,0,0
4BY21FZZ,maraton,0,0
9AFFD221,maraton,0,0
B361YDCD,maraton,0,0
551Z34A4,maraton,4,2
89B355Z8,maraton,0,0
5YBC55YA,maraton,0,0
5YD75829,maraton,0,0
D73FY86Y,maraton,0,0
A3Y4A89D,maraton,0,0
D1B1F729,maraton,0,0
8DABZC43,maraton,0,0
8735DA53,maraton,0,0
5567C3BB,maraton,0,0
4242A5Y2,maraton,0,0
FCFCD4D3,maraton,0,0
F2AB6B49,maraton,0,0
B7BZDCCC,maraton,0,0
42FF7YBC,maraton,0,0
49A9ZZC1,maraton,0,0
6C79197C,maraton,0,0
46YCC24F,maraton,0,0
Y7DC1Z7C,maraton,0,0
9A4829AD,maraton,0,0
4B4ZC294,maraton,0,0
AYY4B12B,maraton,0,0
Z1D4D394,maraton,0,0
647CZAY1,maraton,0,0
B44CA765,maraton,0,0
AA13534Z,maraton,0,0
Y65Y5976,maraton,0,0
9B22877D,maraton,0,0
D8B5ABFZ,maraton,0,0
F64C428Y,maraton,0,0
67B63FF1,maraton,0,0
814YBY6Z,maraton,0,0
8ZY4YA23,maraton,0,0
493C7YC2,maraton,0,0
A7A39741,maraton,0,0
Y581BD8Y,maraton,0,0
AAYZB3YF,maraton,0,0
9C7B6Y4Z,maraton,0,0
9FF5D74C,maraton,0,0
6B8452B8,maraton,0,0
1ZCB1F2F,maraton,0,0
YB23ZY72,maraton,0,0
8AA852FD,maraton,0,0
69FD3Z35,maraton,0,0
67ZF4ZA1,maraton,0,0
1FFA5749,maraton,0,0
3Z7YD1B4,maraton,0,0
F212CZ42,maraton,0,0
FZA4231C,maraton,0,0
91Z4Y416,maraton,0,0
6FZ37778,maraton,0,0
5ACZYFZC,maraton,0,0
A9CYA47Y,maraton,0,0
32699BAZ,maraton,0,0
1Z1CC337,maraton,0,0
4A2D76A7,maraton,0,0
AY96YY89,maraton,0,0
YAYC1AYB,maraton,0,0
FF198B96,maraton,0,0
BZ27C497,maraton,0,0
9A43BC63,maraton,0,0
1436DZ3Z,maraton,0,0
6911147Y,maraton,0,0
45F19Y39,maraton,0,0
1YZ12YA3,maraton,0,0
D1969A61,maraton,0,0
2A4ZB454,maraton,0,0
F6691DA2,maraton,0,0
A6ACC7DB,maraton,0,0
9F2BDC9D,maraton,0,0
66DBA55D,maraton,0,0
CC5Y46Z7,maraton,0,0
AZ46F7B5,maraton,0,0
2C312B9Z,maraton,0,0
985Y2FY5,maraton,0,0
FF4Y9Z8D,maraton,4,2
38AD8AB9,maraton,0,0
78Y2CA86,maraton,0,0
49F6ZA91,maraton,0,0
842B9BZ4,maraton,0,0
YZ3YCCFZ,maraton,0,0
FAF13C1F,maraton,0,0
CB3A8F2Z,maraton,0,0
374Z163A,maraton,1,1
45Y53YB7,maraton,0,0
2C8B6YA4,maraton,0,0
DZ4Y8Z96,maraton,0,0
BB9265D4,maraton,0,0
AY628ZDD,maraton,0,0
B7F75373,maraton,0,0
8825A633,maraton,0,0
FZYD9CF3,maraton,0,0
F9BCFC95,maraton,0,0
9Z17D6C7,maraton,0,0
15Z5BBAA,maraton,0,0
58F19C82,maraton,1,1
AYF57Y46,maraton,0,0
AD9AAYY7,maraton,0,0
BY7B335B,maraton,0,0
4FYF2FB7,maraton,0,0
FBZ73384,maraton,1,1
CB18B12B,maraton,0,0
7BBF5AZB,maraton,0,0
A829F2C3,maraton,0,0
ZFD221A1,maraton,0,0
BYDD7F75,maraton,0,0
d243c21e-d917-5262-8e49-f6bfc47807ff,maraton,4,4
B4YZCB2C,maraton,0,0
7433Z71F,maraton,0,0
BY3Y1FFB,maraton,0,0
AAFDA517,maraton,0,0
A3333B65,maraton,0,0
4A8BY85A,maraton,0,0
Z7D4ADAY,maraton,0,0
66ZZ734F,maraton,0,0
BFB8C4Z6,maraton,0,0
393Z2Y8B,maraton,0,0
FY657494,maraton,0,0
ZY8983Y2,maraton,0,0
BYBD3635,maraton,0,0
8FYY28D1,maraton,0,0
9549FF71,maraton,0,0
AY14435A,maraton,0,0
8FB4FB59,maraton,0,0
9a192af6-c46e-51eb-a8ea-a8dc699f3750,maraton,0,0
7189YZ9A,maraton,0,0
37B3D96C,maraton,0,0
6B4D2851,maraton,0,0
87F167YA,maraton,0,0
3C69FB22,maraton,0,0
572C47DD,maraton,0,0
1BY68733,maraton,0,0
95F3C6ZZ,maraton,5,4
7D3C4Y5A,maraton,0,0
7ZY3343Z,maraton,0,0
58B59368,maraton,0,0
Y16Y5FB7,maraton,0,0
8268Y1FC,maraton,0,0
3B8819Z9,maraton,0,0
B61A2493,maraton,0,0
2D612YY4,maraton,1,1
47Z68Y7A,maraton,0,0
9FZ7Y7DA,maraton,0,0
5DC12663,maraton,0,0
28179Y17,maraton,0,0
D41FA61F,maraton,0,0
YF8Z367Y,maraton,0,0
CY1C5DD6,maraton,0,0
D214ZB9Z,maraton,0,0
8FD88ZZB,maraton,0,0
C679C78B,maraton,0,0
4B739AFB,maraton,0,0
386AFZD3,maraton,0,0
Z13CC522,maraton,0,0
962575Y9,maraton,0,0
CD5589B3,maraton,0,0
Z6FFD4D8,maraton,0,0
1C4DF997,maraton,0,0
2Y5ZD3Z1,maraton,0,0
14B63ZD4,maraton,0,0
247DYZF3,maraton,0,0
AAB64Z3Z,maraton,0,0
B7A6CBA7,maraton,0,0
7C31D217,maraton,0,0
Z819FY2B,maraton,0,0
L4894232,maraton,0,0
2AZ8889A,maraton,0,0
527A7C6A,maraton,0,0
CY9YAY65,maraton,0,0
1D37DDBC,maraton,0,0
1YY5FFF1,maraton,0,0
