
=== Carrera b228b93e-2a15-4123-baf9-ca0915165c6a, Evento Mitja, Split 10K ===
       athlete_id                                         club  edad  time_split_sec
93488    7YY39FAD                                Brked-Off  25.0        2430.540
112485   7Z7C86DF                  Mountain Running Guides  34.0         959.986
111170   7Z96528B                                           60.0        2402.146
26400    7ZF92Y72                            Independiente  33.0        2390.157
19463    81A3D38D                             Ironwill.pro  38.0         954.977
54760    81CA9ZA7                         Salford Harriers  40.0         999.903
129730   81D9YZ28                    Ackworth Road Runners  49.0        2373.381
77495    8244419Y                            Independiente  41.0        2507.092
8624     8285Z9Y4                            Independiente  30.0        2354.902
115649   82D24F39                            Independiente  34.0        2464.917
94565    82F58YY8                            Independiente  33.0        2427.714
5695     82YD2YC4                            Independiente  34.0        2443.315
18103    82ZD1CB8                      Runners de Xixinabo  49.0        2671.016
10763    834BY5B5                             UGE Badalona  31.0         989.766
15152    83542CY3                            Independiente  52.0        2359.848
156073   835DZC97   Blackrock Athletic Club Dublin Ireland  64.0        3098.609
141886   83CC629Z                         Running Together  44.0        3404.466
154178   8468F681                            Independiente  35.0        2453.918
37882    84Z3441Z                              TOP4RUNNING  31.0         955.391
110943   851ZDYDZ                            Independiente  50.0        2388.873
52827    858B517A                            Independiente  27.0        3254.913
21319    866ZCA61                            Independiente  37.0        2352.691
72968    8678B9DD                            Independiente  40.0        2387.785
104499   869277FZ                             St Albans AC  31.0        1007.422
50682    86C99D89                                           48.0         992.296
1069     872BF634                        ASD Urban Runners  34.0        2377.442
65384    8861DF2D                            Independiente  32.0        1013.068
45363    8874D4C5                                   Varegg  22.0        1004.580
134828   891C61FZ                            Independiente  37.0        2524.239
160170   899F1YFZ                    Ackworth Road Runners  62.0        2373.900
18687    89BDCCZ3                            Independiente  52.0        5222.693
58393    89YD6Y97                            Independiente  19.0        2363.272
6053     8A2CA2ZA                                           54.0        2396.834
136534   8AD82DF5                            Independiente  50.0        2579.424
91651    8C5Z5YD8                 IFK Göteborg Orientering  29.0         986.720
99128    8D8183A8                                  Skinfit  26.0         918.216
114290   8DB78F82                        C.A. KILÓMETRO 42  26.0         985.515
83876    8F3B35Y1                         Club Atlètic tmb  49.0        2496.564
98278    8FF229AD                            Strindheim IL  24.0         927.163
82880    8FZA534A                       TSV Niederelsungen  28.0        1002.074
133769   8YDADC6F                      Levenshulme Runners  40.0         984.350
17091    8Z2195B2                            Independiente  27.0        2394.644
127549   8ZB4C76Y                            Independiente  31.0        2489.111
71860    8ZBC1Y75                            Independiente  45.0        2376.993
87459    8ZC14156                            Independiente  24.0        2749.419
73956    8ZC86695                            Independiente  42.0        2489.192
3585     912641A5                            Independiente  34.0        2421.705
136588   914A3BD7                            Independiente  22.0        2878.822
86354    918Z33FC                            Independiente  28.0        2479.122
117795   91987C38                            Independiente  24.0        2719.918
160158   91C79Z35                         CLUB KM@KM ELCHE  50.0        3577.716
3375     92342CD6                            Independiente  29.0        2597.793
27069    92Z78AF7                            Independiente  43.0         997.160
151736   931FDADD                            Independiente  31.0         913.866
17472    94C85796                                           52.0        2364.538
133823   94Z97D24                            Independiente  39.0        2440.361
140948   95AA8Y34                          Donore Harriers  27.0         955.766
54144    962C8439                                           32.0         919.588
134894   967ZZ5B3            Royal Whitestar Athletic Club  37.0         952.019
47673    96945Y94                           Esclops d"Azun  23.0         931.692
4432     96CB3A7A                                     Puma  32.0         917.958
155108   9743C5AZ                         Tromso Lopeklubb  38.0         982.925
104080   9799Y493                                     ODTU  32.0        2438.832
38875    979B541D                            Independiente  30.0        2649.127
52303    979B8DBZ      HYGGE RUNNING CONCEPT - BROOKS TEAM  31.0         938.748
145810   97CD58FC                            Independiente  49.0        2610.880
162116   97Z269F5                            Independiente  22.0        2394.015
131804   984D56Y1                            Independiente  38.0         927.504
117876   9874CAZD                            Independiente  25.0        2388.544
122521   988ZF5YD                     BROOKS TRAIL RUNNERS  28.0         982.380
131321   991B7ZB2                            Independiente  43.0        2812.364
19921    99A543AY                            Independiente  33.0        5261.106
24084    9A29YZBC                            Independiente  34.0        2394.939
91826    9A46CB73                             1 TO RUN ASD  47.0        4079.035
75528    9A7ZZ861                                           30.0        2461.735
105392   9AZ6FC5Z                     The Kenyan Urban Way  45.0        2445.475
138047   9B338Y5A                              TEAM MISANO  32.0         963.212
143908   9B3D96B4                            Independiente  28.0        2484.540
136300   9B949Y91                            Independiente  56.0        2521.309
33154    9BB22FY4                            Independiente  45.0        2608.955
34387    9C3YY688                            Independiente  34.0        2351.146
2016     9C59Z6FC                            Independiente  47.0        2709.358
132258   9CD13786                            Independiente  20.0        2410.143
155935   9DZ41AB1                            Independiente  27.0        2393.584
137494   9F63941D                                           46.0        2352.716
86629    9FA7B745                                           37.0        4636.472
150962   9FBD2113                            Independiente  22.0        2394.192
85426    9FF11C59                            Independiente  52.0        2592.685
155331   9FFC82ZZ                                           33.0         968.487
71447    9Y77Y387                            Independiente  25.0        2591.252
73010    9Y8B6DC6                            Independiente  24.0        2385.361
2070     9YC62C21                            Independiente  20.0        2408.252
145046   9YZ3283C                            Independiente  47.0         983.518
17952    9Z5ZB922                                           41.0        2410.966
68271    9Z94Y42C                            Independiente  35.0        2397.809
142804   9ZA569YD                                     CNAB  78.0        2550.518
130390   9ZB51D96                            Independiente  21.0        2506.364
3832     9ZZ19DF1                            Independiente  21.0        3521.626
91693    9ZZ1BC7Y                      INCLUYENDO SONRISAS  38.0        2478.232
18978    A135C9A6                            GTI friidrett  31.0        1014.765
8925     A171D2YA                      New Marske Harriers  71.0        2439.943
160680   A2247F2B                            Independiente  29.0         938.765
43555    A2266YY8                            Independiente  34.0        2479.995
67637    A26A3B4B                            Independiente  26.0        2366.852
38756    A291BFB4                            Independiente  36.0        2916.893
116004   A3516756                            Independiente  58.0        2641.594
46113    A3741CC7                            Independiente  21.0        2527.598
62642    A4723ZAF                   Hedge End Running Club  58.0        2447.825
65729    A4BAFY13       C.D. ATLETISMO BRIVIESCA-NORPETROL  43.0        1014.735
13831    A4DDDDDB                            Independiente  36.0         953.884
110865   A55F7DZB                 CA ALBACETE - DIPUTACIÓN  33.0         975.974
103479   A5761B4A                       North East Project  27.0         983.711
6420     A58Z8376                            Independiente  41.0        3160.012
102838   A62F3F98                              BROOKS TEAM  31.0         994.852
75954    A6Y89218                            Independiente  27.0         986.816
126200   A7AZD72Z                            Independiente  37.0        2652.685
6207     A7B87ZC6                         AZS Politechnika  37.0        1007.800
61885    A7Y61C6D                            Independiente  27.0        3079.337
27836    A7Y81ACY             Entente Athlétique de l"Arve  35.0         925.836
92651    A85Z2516                           Fondistes Rubí  68.0        5262.232
155425   A8C85ZDZ                         NBRO Racing Club  46.0        2406.811
78106    A8F47585                             SV Brackwede  31.0        1001.681
112951   A958Z9F1                 Tunbridge Wells Harriers  34.0         972.545
83966    A9841Z5F                            Independiente  25.0        2647.390
96763    A9D316Z7                            Independiente  42.0        2404.230
131770   A9Y41A1B                       Nuñez Run Talavera  29.0         886.971
144453   AAB7FA8D                            Independiente  23.0        2472.087
124127   AAC2ABB3                            Independiente  34.0        2450.075
94775    AAF16666                            Independiente  50.0        2402.577
49365    AAYY3Y28                                           35.0        2826.291
124716   AAYZ1Y74                            Independiente  21.0        2396.538
47327    AB24Z18F                            Independiente  38.0        2461.097
2010     AB83ZBC2                            Independiente  32.0        2792.501
64751    ABA2Z3CZ                                 Athle632  23.0         997.750
33420    ABAACC65                            Independiente  36.0        2364.419
29510    ABZA9ZY8                                    BUNGE  31.0        2529.466
138226   AC12A925                            Independiente  54.0        2403.035
11862    AC263852                                      Jam  42.0        1010.054
128744   AC68Y46Y                            Independiente  53.0        2895.509
145298   ACA965F1                                     Eamh  35.0         985.846
51693    ACZCZ5CC                            Independiente  32.0        2400.641
91298    ACZYYD94                            Independiente  30.0        2461.283
135026   AD7B8844                            Independiente  36.0        2396.259
154947   AD8646D5                            Independiente  48.0        2351.439
1525     ADDB598F                     BROOKS TRAIL RUNNERS  31.0         938.035
59188    AF25933F                                           48.0        3529.601
41249    AF55D23C                            Tomrefjord IL  26.0         982.809
93197    AFB7591B                            Independiente  22.0        2879.077
10140    AY4C3D5D                          TheSquadRunning  40.0        2405.645
65903    AY523A18                            Independiente  34.0        2373.932
130801   AYBD5AZ7                            Independiente  62.0        2528.725
18581    AZA7AD2Y                            Independiente  55.0        2444.337
115841   AZAD7BBB                  Ferencvárosi Torna Club  25.0         992.221
89608    AZB1D2ZC                         Morpeth Harriers  28.0         947.104
45269    AZBA8Z1Z                        adrianbednarek.pl  34.0         956.437
136408   B1BY1613                            Independiente  41.0        2363.565
54940    B212Z1C3                            Independiente  28.0        2361.554
20151    B278241C                            Independiente  29.0        2777.461
15752    B2YC1731                         Les Croupiers RC  38.0        1011.341
110699   B31BD584                                           25.0        2428.800
110800   B3BC4FZ6                    Ackworth Road Runners  46.0        2374.085
19355    B3DCY4B4                                 SK VIDAR  24.0         957.136
143403   B459577Z                            Independiente  43.0        2460.622
58871    B4AC91Z4                         Les Croupiers RC  24.0         938.558
160327   B4ZY1BFD                                           32.0         912.284
30856    B534Y2C7                            Independiente  21.0        2537.364
41054    B5464991                            Independiente  29.0        2461.768
148384   B5C9F156                            Independiente  30.0        2429.181
88271    B6C98189                            Independiente  39.0        2368.299
117090   B6FC638F                          PAC (Rotterdam)  36.0         942.242
151890   B8YZ55D1                                      RHI  27.0        2430.092
95169    B919A72F                                    Asics  31.0         918.945
160940   B92Z12BZ                           CA PALAFRUGELL  34.0        1016.363
118709   B982B45C                               Jølster IL  23.0         978.460
133644   B9D1FC5B                            Independiente  28.0        2397.193
8660     B9Y8Y1D1               TRANSPERFECT CA TMB AFANOC  20.0         885.780
23561    B9YBC7B7                            Independiente  53.0        2595.014
136570   BA2BD916                            Independiente  37.0         954.815
110477   BAD1F122                               C.A ALHAMA  36.0        1003.568
44531    BB3B517B                                           26.0        2385.307
161660   BB52C5ZY                            Independiente  31.0        1009.136
47434    BB6924DC                            Independiente  39.0        2440.139
6498     BB94214D                            Independiente  27.0        2608.451
45245    BBDF9YB5                            Independiente  58.0        2630.402
123737   BBZ2F4F6                            Independiente  48.0        2476.053
137250   BC3841D3                            Independiente  20.0        2979.623
5665     BC8YY57C                            Independiente  60.0        2597.910
13227    BCB671A7                     BROOKS TRAIL RUNNERS  25.0         928.688
135960   BCBB911A                                 TV Alzey  23.0         947.788
31691    BD18BZ95                            Independiente  34.0        2362.802
88753    BD2C8FZD                              AGF Atletik  30.0         967.489
46411    BD34C9YY                            Independiente  52.0        3047.336
155319   BD6F5C22                            Independiente  24.0        2960.891
128877   BD6Z8ZZ9                            Independiente  56.0        2430.143
13395    BD77CF3D                                     Nike  24.0         881.983
82593    BD9Z6FZ7                            Independiente  26.0        2724.451
157841   BDD37239                                           26.0        2473.441
26210    BDZ42688                            Independiente  24.0         917.808
49834    BF439965                            Independiente  41.0        4667.349
118563   BF58BAZ8                                           22.0        2882.359
80285    BFCA99C2                     Plumaugat Athlétisme  29.0        1011.881
88630    BY4B3BZ2                             Waterford AC  26.0         886.149
48023    BYA77832                            Independiente  26.0        2495.866
108671   BYDCFB3F                            Independiente  54.0        2468.730
128931   BYDZ4269                            Independiente  21.0        2435.471
12448    BYF882F6                      Maastricht Atletiek  27.0        1011.213
133150   BYF88F44                                ecla albi  20.0        1011.299
53831    BZ57Y78C                            Independiente  35.0        2455.320
23639    BZYC391B                            Independiente  28.0        4041.905
50688    C131Z5A6                            Independiente  30.0        2470.251
20187    C1FCA236                           OLX Group Team  35.0        2916.531
149492   C1YAA4Z4                                   BCTeam  37.0        7288.482
49471    C2A26613                            Independiente  28.0        2746.581
142856   C2YA615B                   Spirit friidrettsklubb  34.0         983.168
156823   C327Y476                                           39.0        2489.377
96837    C3934ZYA                Sporting Club de Portugal  32.0         886.672
149654   C3Y3F49F                            Independiente  22.0        2523.457
105398   C43CBZZA                          Reading Joggers  18.0        2600.868
4088     C46837FZ                                 Lo sport  41.0        5310.070
144764   C47C694B                            Independiente  46.0        2416.158
130129   C522D28F                                           21.0        2990.802
156434   C52ZY7Y4                            Independiente  53.0        2469.162
132329   C53ACA8Y                            Independiente  39.0        2631.231
58004    C57C98AY                            Independiente  23.0        2361.166
157560   C58D3113       ASICS - ATLETICA VALLI BERGAMASCHE  35.0         886.711
145052   C5B15D93                                           41.0         998.857
137974   C5D16272                              AGF Atletik  29.0        1003.419
148773   C5Z6AYZB                              Keith Huber  61.0        2890.815
123807   C62FF937                 C.E. LA VESPA DE NOVETLÈ  37.0        1015.691
19955    C662374B                                 SØMNA IL  45.0        1008.318
3079     C681Z149                            Western Tempo  25.0         936.638
67171    C71Z5473                            Dziuk"s Squad  37.0        2373.817
35248    C7682C33                            Independiente  31.0        2593.109
14740    C76B63DC                            Independiente  43.0        2407.275
80669    C82BZ9CD                            Independiente  30.0        2517.750
100772   C8B1647F                           Projecte Traça  32.0        1012.533
149990   C913Z7A2                                 DSG Wien  26.0         938.711
20391    C91963B2                   GRUPPO PODISTICO MELZO  27.0        2728.925
110040   C95DADZF                            Independiente  47.0        2380.113
103840   C9A4B44A                            Independiente  24.0        2808.102
7447     C9B3A84Z                            Independiente  26.0        2450.835
94366    C9BZA8YF                            Independiente  34.0        2462.196
157298   C9YD6889                            Independiente  21.0        2442.638
49071    CAFDF9YC                            Independiente  18.0        2741.354
157232   CB219853                                           31.0         861.067
1334     CB275118                            Independiente  26.0        2513.761
93535    CB54784F                            Independiente  53.0        2763.117
28607    CB569753                               RETODRAVET  46.0        4741.160
63611    CB5DD764                         Bilbao atletismo  33.0         991.880
99493    CB93C576                            Independiente  59.0        2757.214
49209    CB9A22Z4                              TT VAVREČKA  26.0         998.939
132536   CBDYZ333                    Futbol Club Barcelona  34.0         960.395
43963    CC7CD2Y9                         Cárnicas Serrano  36.0        1013.130
61574    CCBB7C9Y                                      RAF  26.0         985.983
132401   CCBC72F5                            Independiente  21.0        2699.995
28744    CCD2B2BF                            Independiente  52.0        2847.016
2689     CD12D9ZZ                                     Hoka  32.0         864.748
133877   CD48319C                                           25.0        1006.865
63871    CD7CD617                     Obstacle Center Team  31.0        2577.374
149665   CD8CB5A1                            Independiente  19.0        2974.502
114404   CDB5FBZ8                            Independiente  42.0        2801.786
51761    CF2ZFAZF                            Independiente  36.0        3065.779
39061    CF76D8A5                                 Abingdon  31.0         976.081
59967    CF95D3CY                            Independiente  20.0        2604.780
119880   CFC2Z7Z9                                           16.0        3343.862
77548    CFC9B9B1                      Fulham Running Club  31.0         988.407
93368    CFY72F65                       BROOKS ROAD RUNNER  24.0         969.980
132488   CY7B275A                            Independiente  35.0        5542.774
78687    CYF68979                            Independiente  27.0        3199.830
150156   CYYA5F3F                       TEAM BROOKS EUROPE  27.0         921.053
154936   CZ53493Z                            Independiente  27.0         996.170
56131    CZ6292YD                            Independiente  32.0        1012.815
52679    CZ7ZC467                            Independiente  46.0        2634.305
19432    CZZZ6823                   VfL Eintracht Hannover  30.0         971.164
41742    D12A5145                            Independiente  39.0        2455.092
10059    D1757BZ8                            Independiente  27.0         998.348
57063    D187YA74                                           29.0        2367.165
20862    D1C41189                                           46.0        2501.207
6556     D275961C                            Independiente  41.0        2557.281
151249   D281Z865                            Independiente  26.0        2597.496
138118   D2A26DZF                                           36.0        2617.746
32613    D2CZA164                        PACE PACK RUNNERS  61.0        2413.391
90149    D366283Y                              Mafia Moves  39.0        2482.080
72016    D39FBDY4                             ACEP VALREAS  28.0         959.172
20283    D3YB8CA4                                      RHI  25.0        2544.114
22244    D41Y4AC2             Bjerringbro Atletik & Motion  27.0         920.830
51928    D46B3Z23                            Independiente  32.0        2493.112
147831   D47A8AF7                                   Kiprun  28.0         993.281
46757    D4954F1B                            Independiente  51.0        2551.761
64210    D4A85F1Y  We Are Genius by Johan Cruyff Institute  30.0        3023.179
105512   D4FAD945                            Independiente  25.0        2393.230
126164   D4Z16AF4                              AGF-ATLETIK  38.0         983.105
65590    D4ZA11F4                            Independiente  55.0        3221.284
85279    D59BCBA8                            Independiente  60.0        2382.166
21597    D6231622                           BSC Athlétisme  25.0        2511.847
86676    D681185A                            Independiente  37.0        2357.672
34677    D6DZB64C                          Running Academy  36.0         994.054
158094   D75ZFDZ7                              KM COACHING  41.0        2759.226
146145   D7915A19                            Independiente  43.0        2404.743
66498    D7A4BZ74                            Independiente  27.0        2522.091
117771   D7CZ7BAF                            Independiente  51.0        2704.209
63687    D7Y6C5A6                            Independiente  28.0        2871.441
161974   D8B8BF2A                              CDF RUNNERS  29.0        1010.558
80443    DA3635B6                            Independiente  25.0        2551.085
151646   DAY12ZC2                           Team FerMedica  28.0         975.582
62648    DB159A65                            Strindheim IL  24.0         983.312
77006    DB4Y8ZY7                            BROOK RUNNING  32.0         905.396
160578   DB5CD812                            Independiente  24.0        3264.212
41327    DB5CYYB7                                           30.0        2562.895
32406    DB5ZZBZB                                           63.0        2481.416
157990   DB9AAFC7                    Sparta Atletik og Løb  31.0        1013.393
98842    DBZ43AB2                            Independiente  53.0        2680.662
4426     DC368B5Z                            Independiente  27.0        2447.743
94258    DCFZ8295                                  Li-Ning  30.0         872.426
37049    DD112494                            Independiente  48.0        2808.129
37948    DD63F7D7                            Independiente  65.0        2475.928
105374   DD6B3F4F                            Independiente  25.0        2735.100
84964    DDB95CBB                            Independiente  50.0        2788.841
26538    DY5F24Z2                            Independiente  62.0        2442.730
41816    DY714491               TRANSPERFECT CA TMB AFANOC  19.0         973.319
19690    DY99D5F2                            Independiente  36.0        2565.349
118673   DY9ZD883                                  PC Team  28.0        4133.193
13245    DYC1D387                      Atletiek Maastricht  33.0         886.084
111032   DYCBFYAY                     BROOKS TRAIL RUNNERS  27.0         939.447
50401    DYF969DB                                           29.0        2588.563
152141   DYYDZAD5                             LTV Koeflach  44.0        1010.311
79495    DYZAB27F                            Independiente  68.0        2460.328
141342   DZ476C1F                   C.E. ALLIBERADRENALINA  61.0        2598.992
88901    DZ82ZY34                            Corredors.cat  47.0        2815.126
18880    DZD25553                                           48.0        2387.072
67523    DZFAA7D6                            Independiente  35.0        2478.632
4690     F12D5FCA                            Independiente  51.0        2456.678
85974    F1F98ZFA                            Independiente  35.0        2421.926
149856   F1Y1Y6F9                            Independiente  35.0        1011.978
156626   F22D5565                            Independiente  64.0        2767.518
78355    F26AB7BB                            Independiente  54.0        2446.088
113315   F2YF2AAF                                           33.0        2399.074
20103    F3526296                            Independiente  26.0        4428.114
133638   F47B9B31                                     CANB  48.0        2493.041
36154    F49C86Z3                LT Haspa Marathon Hamburg  26.0        1013.160
145058   F551383F                            Independiente  47.0        2397.975
113125   F5783Y99                            Independiente  45.0        3263.700
17001    F58455B6                            Independiente  32.0        2573.637
123695   F5FA4AF8                            Independiente  22.0        2439.098
139771   F5Z18Z85                            Independiente  57.0        2451.807
148736   F614FZ23                            Independiente  37.0        2443.203
64060    F6272A7Z                    CLUB ATLÈTIC MALLORCA  25.0         976.540
129880   F6315Y6D                         Esportiu Penedès  36.0         992.471
33789    F6891ZD3                                           31.0        2530.361
115591   F6B3Z3BD                            Independiente  53.0        2597.650
128849   F6YC8384                 STADE RENNAIS Athlétisme  30.0         992.929
134454   F722Z34C                                 INERTIAL  33.0        1000.126
29063    F81F7198                            Independiente  22.0        2627.495
45105    F8CZB8C3                            Mazda Fellner  63.0        3131.293
113161   F8Y5B432                          The Ginger Club  28.0        2399.240
130701   F918BZBF                            Independiente  24.0        2516.034
58181    F936D3B5                     Bweeng trail blazers  30.0        1013.838
123210   FAA33873                        Brkedoff Run Club  33.0        2710.904
74706    FAZ2688C                             TS Innsbruck  31.0        1002.983
128769   FB39347C                                     Nike  24.0         796.077
102772   FB7131BC                                           29.0        2436.693
16653    FBAB26F5                            Independiente  28.0        2413.807
28556    FBC21595                            Independiente  26.0        2366.142
80371    FC13CB3Y                            Independiente  28.0        3053.673
121658   FC8A3D8Y                            Independiente  60.0        2415.298
35274    FD16A341                            Independiente  32.0        2408.952
34833    FD95BBAC                               KL Running  28.0         992.395
54544    FDZA6D59                            Independiente  50.0        2696.906
106870   FF26Y944                     Club natació Calella  27.0        1017.487
7862     FF298231                            Independiente  42.0        2470.363
141791   FF564A1F                           OLX Group Team  42.0        2766.531
150074   FY7741B6                            Independiente  26.0        2451.653
57259    FY8A94F3                                   PCteam  29.0         995.367
41379    FYZ52291                              AGF-Atletik  33.0         931.344
118323   L2483325                 Crickhowell Running Club  62.0        2359.740
79135    L3738189                                      NNR  32.0         837.001
63835    L6936595                            Independiente  37.0        2374.869
35251    L71653D7                            Independiente  52.0        3472.818
142236   L7186151                                  RunLife  56.0        2697.684
136850   L9461812                             Haugesund IL  26.0         905.346
73291    L9776893                            Independiente  34.0        2369.049
32083    Y15AZ1Z8                                           73.0        2386.559
69759    Y1C249YB                            Independiente  44.0        2652.598
22591    Y1C46475                            Independiente  32.0        2574.719
71100    Y29D86C4                            Independiente  47.0        2434.861
109174   Y2F6BAA7                                  Li-Ning  24.0         861.914
79997    Y3279598                            Independiente  32.0        2793.217
65753    Y33Y162A                            Independiente  43.0        2400.842
49501    Y37BBF7D                      Road Runners Milano  58.0        2609.365
132383   Y39Z7AF8                            Independiente  29.0        2519.429
84622    Y4DBF654                            Independiente  59.0        2376.918
115878   Y4ZCC684                            Independiente  56.0        2556.202
148821   Y57AZ33Z                            Independiente  56.0        2505.800
67318    Y59F613C                            Strindheim IL  27.0         983.969
42205    Y616Z228                            Independiente  27.0        2483.678
86635    Y73596Z5                                   Brooks  27.0         945.957
153014   Y797Y3A5                            Independiente  38.0        2608.825
86922    Y7AY9B39                            A.D. Marathon  37.0         987.812
74389    Y7F2Z3Y4                           CEP Cortaillod  19.0         948.149
155857   Y7F3B367                            Independiente  38.0        2383.812
158678   Y898Z91F                            Independiente  22.0        2426.022
25629    Y8F3CACD                            Independiente  29.0        2452.060
113089   Y8FY9C16                           Moy Valley A.C  24.0         904.045
342      Y9456D4Y                            Independiente  47.0        2484.693
157059   Y965FD49                            Independiente  50.0         686.257
35635    Y9AC233Z                            Independiente  28.0        2672.583
62606    YB2B7F61                            Independiente  26.0        2395.388
141159   YC232Z24                            Independiente  84.0        4250.331
92700    YC42YAB7                            Independiente  49.0        2356.195
81157    YC83F915                            Independiente  52.0        2386.799
111709   YC888Y7B                            Independiente  34.0        2454.787
30581    YCD63DAZ                            Independiente  67.0        3151.344
78570    YD21DY1Z                Urban Athletics Barcelona  33.0        1001.664
31442    YD56Z8B5                              Cornwall AC  29.0         984.318
28550    YD6D913F                            Independiente  28.0        2441.979
158522   YD846654                                 CORNER 4  67.0        2438.443
43195    YD916761                            Independiente  28.0        2544.662
114494   YF1DA178                            Independiente  25.0        2425.311
41141    YF3Z3C87                                           60.0        2398.263
123902   YFAFBDA6                            Independiente  32.0        2675.376
94482    YFZ87A23                                           25.0         876.127
32831    YYFC98Z7                                           53.0        2830.797
51404    YYZF922B                            Independiente  26.0        3078.797
14466    YZ875Y74                          URBAN ATHLETICS  52.0        2851.454
55547    YZB7D1Y9                            Independiente  24.0        2757.369
160067   YZDCC9Z9                            Independiente  40.0        2675.160
25878    Z13Y3157                            Independiente  32.0        2353.032
116879   Z3942173                            Pro Endurance  53.0        2851.530
155887   Z39CZFY6                            Independiente  31.0        2576.860
18282    Z419DD4C                            Independiente  22.0        2394.769
783      Z5163A69                            Independiente  28.0        2459.360
59979    Z593AZ79                            Independiente  31.0        2659.335
87876    Z5CA673Y                                           48.0        2891.638
149453   Z635BY3Y                             RAZ SZCZECIN  49.0        2387.781
158714   Z6416F9D                            Independiente  26.0        2566.959
52166    Z6739YFC                            Independiente  27.0        1013.301
155161   Z69Y22FC                                   KIPRUN  30.0         877.329
138232   Z6AF5DBB                            Independiente  50.0        2497.180
58309    Z6C55212                ASD DINAMO SPORT BELLARIA  21.0         980.675
146924   Z6Z7ZA3Z                            Independiente  51.0        2382.151
46282    Z76CFF73                            Independiente  63.0        3972.155
28341    Z77Y224C                            Independiente  25.0        1001.874
21337    Z79A7A27                            Independiente  42.0        2356.837
142958   Z7F26C9A                         lauftraining.com  38.0         950.598
109543   Z7F5A129                            Independiente  51.0        2527.981
72453    Z7YF7CF4             Recreio desportivo de Agueda  29.0         920.277
115231   Z8D614AZ                            Independiente  40.0        2445.212
98820    Z8Y5A745                                     SOAR  29.0         918.387
132713   Z92Z61Y6                                           34.0        2477.510
161690   Z94Z5F69                  LES TRAILEURS DU SAMEDI  43.0        1009.714
149612   Z971DZC6                            Independiente  60.0        2650.093
33456    Z9ZB9ZZ5                           Common Runners  50.0        2394.641
61524    ZB45CB45                        The Stragglers RC  30.0        1005.131
122741   ZC153BZZ                                           30.0        2697.342
158474   ZC47Z86F                              TOP4RUNNING  22.0         954.431
131099   ZC6455A3                                           30.0         861.189
10446    ZC6YC36D                            Independiente  42.0        2689.067
94102    ZC8AC726                                     Nike  34.0        1008.342
137868   ZC99826A                            Independiente  26.0        2414.009
28294    ZCBZ2Z4B                          Avinent Manresa  53.0         993.952
95489    ZCZ6D783                            Independiente  46.0        2589.568
32488    ZD11YA2B                            Independiente  37.0        2577.169
156025   ZDB8F4Z7                 Meirionnydd Running Club  34.0         969.339
63307    ZDF5Y39B                          L"Hospitalet At  33.0         960.720
157602   ZF2Y8Y48                            Independiente  54.0        2565.020
10769    ZF64D676                                 Hälle IF  38.0         989.593
31212    ZFD6B2DC                        ASEC LA POMMERAYE  24.0         970.632
21048    ZY1F6848                            Independiente  29.0        2403.926
111464   ZY71CB28                                           25.0        2523.078
22028    ZY7Y4A77                           Ballyvolane AC  60.0        2370.174
144920   ZY8ZB2YF                            BrokenNose&Co  31.0        3079.418
135804   ZYZ8Y39F                            Independiente  52.0        2639.960
132923   ZZ76111Z                              team2012.at  43.0         969.178

=== Carrera b228b93e-2a15-4123-baf9-ca0915165c6a, Evento Mitja, Split 20K ===
       athlete_id                                     club  edad  time_split_sec
67403    114386A9                            Independiente  31.0        2711.894
51351    114F1472                         I Run With Leiva  27.0        3723.870
141708   1192537C                            Independiente  43.0        2571.588
139646   11ZADCD5                   Club Esportiu Katrines  58.0        2710.180
1197     121C2CY9                            Independiente  33.0        3196.536
125590   122C12A2                            Independiente  26.0        5551.107
85969    1259A8AZ                            CABV Martigny  23.0        1021.527
30868    12BCD17A              G.P. AVIS Locate di Triulzi  58.0        3636.556
153395   138CZZ98                                           31.0        2999.898
161452   13C1CY24                            Independiente  50.0        2982.696
47000    13FB5116                    Oslo politis forening  32.0         999.303
139076   1441981A                                           39.0        2909.647
46373    14A7997Z                            Independiente  41.0        2592.119
137904   14F51CY2                                      NNR  31.0         866.837
104860   1568YZDZ                                     Puma  34.0        1011.432
150838   156Z38C2                            Independiente  34.0        2590.909
112084   15BYD88C                                           32.0        2713.358
45607    15DD88Z7                                           44.0         950.426
126723   15ZYA434                            Independiente  52.0        2514.988
108186   161AZ41D                            Independiente  25.0        3883.502
41334    16AC33F8                   Thames Valley Harriers  31.0        1013.900
135907   16DC6264                            Independiente  40.0        2929.728
59425    171524B5                            Independiente  21.0        2924.755
131088   182Z5845                            Independiente  35.0         951.688
86301    18A83Y66                            Independiente  30.0        3225.141
150498   18C7DCY1                            Independiente  48.0        2613.479
142769   18D3682D                            Independiente  26.0        5472.579
18643    18YDY212                            Independiente  27.0        3176.480
50701    18YY36BY                QUESO LINARI RUNNING CLUB  31.0        2571.066
136025   18Z6DY8A                        ASD Urban Runners  45.0        6998.518
24            191                                           34.0         949.415
25            191                                      GAC  60.0         949.415
36            192                                           32.0         958.832
37            192                              Viajes VAYU  45.0         958.832
143560   1946DA3Y                            Independiente  27.0        2673.049
48            195                                           35.0         958.489
49            195                                 MAXIROGA  53.0         958.489
25487    1986AB14                            Independiente  32.0        1016.255
127262   19B658AA                            Independiente  28.0        2541.362
