athlete_id,race_id,split,fold,valor_real,valor_imputado,abs_error,race_athlete_id,gender,age,age_group,rel_error,rel_error_pct
943BC1AD,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,2,394.52999999999975,694.8042,300.27419921875025,943BC1AD_49603c2f-1b2b-457f-b82e-fed8bded1d3d,1.0,23.058179329226558,20-30,-0.7610934490600385,76.10934490600386
AZ8Y8D64,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,2,363.91399999999976,585.0319,221.117921386719,AZ8Y8D64_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,29.36892539356605,20-30,-0.6076103716238144,60.761037162381434
F64D643D,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,2,882.3240000000005,417.98273,464.3412729492193,F64D643D_49603c2f-1b2b-457f-b82e-fed8bded1d3d,1.0,52.3066392881588,50-60,0.5262707037584247,52.627070375842465
616A3812,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,3,1073.4040000000005,519.0645,554.3394858398442,616A3812_49603c2f-1b2b-457f-b82e-fed8bded1d3d,1.0,31.058179329226558,30-40,0.5164313579261979,51.64313579261979
6A25292F,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,3,1125.5410000000002,529.6483,595.8926845703127,6A25292F_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,29.084188911704313,20-30,0.529427789872501,52.94277898725011
8Y2B2549,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,3,73.15899999999965,531.20795,458.0489467773441,8Y2B2549_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,34.53798767967146,30-40,-6.261006035024266,626.1006035024266
AAYB2F2Y,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,3,2069.0430000000006,418.66574,1650.3772590332037,AAYB2F2Y_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,49.41820670773443,40-50,0.7976524693955374,79.76524693955373
Z29ZAZF9,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,3,1041.5810000000001,506.35962,535.2213808593751,Z29ZAZF9_49603c2f-1b2b-457f-b82e-fed8bded1d3d,1.0,36.78302532511978,30-40,0.5138547845491808,51.38547845491808
1A17F191,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,4,296.6680000000006,484.98706,188.31906054687443,1A17F191_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,55.43326488706366,50-60,-0.6347804950722477,63.47804950722477
1FB874D9,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,4,954.4030000000002,466.7596,487.6433869628909,1FB874D9_49603c2f-1b2b-457f-b82e-fed8bded1d3d,1.0,48.91444216290212,40-50,0.5109407519171146,51.09407519171146
