
=== Evento(s): Stage 6 & Stage 3 & Stage 4 & Stage 2 & Stage 5 & Stage 1 ===
                                  athlete_id    split  netTime_sec         anomaly_type
163260  da69019e-28b3-51cb-80e0-7d236f506860      CP2     4826.758  Velocidad imposible
163286  da69019e-28b3-51cb-80e0-7d236f506860      CP1     1613.410  Velocidad imposible
163287  da69019e-28b3-51cb-80e0-7d236f506860      EH1     2396.230  Velocidad imposible
163288  da69019e-28b3-51cb-80e0-7d236f506860      CP2     4337.881  Velocidad imposible
163289  da69019e-28b3-51cb-80e0-7d236f506860      CP3     4896.903  Velocidad imposible
163306  bf8112a8-bb18-5aa8-96d7-e0d9d39670dd     Meta     9146.402  Velocidad imposible
163309  bf8112a8-bb18-5aa8-96d7-e0d9d39670dd      EH1     3009.821  Velocidad imposible
163310  bf8112a8-bb18-5aa8-96d7-e0d9d39670dd      CP2     4577.403  Velocidad imposible
163336  bf8112a8-bb18-5aa8-96d7-e0d9d39670dd      CP1     1466.570  Velocidad imposible
163337  bf8112a8-bb18-5aa8-96d7-e0d9d39670dd      EH1     2209.470  Velocidad imposible
163338  bf8112a8-bb18-5aa8-96d7-e0d9d39670dd      CP2     3990.846  Velocidad imposible
163339  bf8112a8-bb18-5aa8-96d7-e0d9d39670dd      CP3     4471.584  Velocidad imposible
163340  bf8112a8-bb18-5aa8-96d7-e0d9d39670dd      EH2     7096.594  Velocidad imposible
163341  bf8112a8-bb18-5aa8-96d7-e0d9d39670dd      CP4     7882.409  Velocidad imposible
163387  b5793b4a-1d90-5878-a6fd-fb87a01b443f      CP1     2101.700  Velocidad imposible
163437  81989c73-c3c2-55f9-b783-6a88a7a39640      CP1     1766.210  Velocidad imposible
163438  81989c73-c3c2-55f9-b783-6a88a7a39640      EH1     2635.730  Velocidad imposible
163457  669a5031-96a3-59c2-be22-615414e928bd     Meta     9206.362  Velocidad imposible
163460  669a5031-96a3-59c2-be22-615414e928bd      EH1     3005.753  Velocidad imposible
163461  669a5031-96a3-59c2-be22-615414e928bd      CP2     4554.270  Velocidad imposible
163463  669a5031-96a3-59c2-be22-615414e928bd      CP3     8698.670  Velocidad imposible
163477  669a5031-96a3-59c2-be22-615414e928bd      CP1     2277.471  Velocidad imposible
163486  669a5031-96a3-59c2-be22-615414e928bd      CP1     1582.810  Velocidad imposible
163487  669a5031-96a3-59c2-be22-615414e928bd      EH1     2446.610  Velocidad imposible
163488  669a5031-96a3-59c2-be22-615414e928bd      CP2     4440.137  Velocidad imposible
163489  669a5031-96a3-59c2-be22-615414e928bd      CP3     5002.274  Velocidad imposible
163537  8a4c899d-6db3-58b5-a086-a8e6154b1347      CP1     1906.510  Velocidad imposible
163538  8a4c899d-6db3-58b5-a086-a8e6154b1347      EH1     2736.870  Velocidad imposible
163568  f9bac489-e75d-5587-953a-043f2ee9c4ca      CP1     6500.356    Outlier de tiempo
163607  fd789e9a-b2b4-59d9-812d-77897e48c923     Meta     8577.624  Velocidad imposible
163637  fd789e9a-b2b4-59d9-812d-77897e48c923      CP1     1393.990  Velocidad imposible
163638  fd789e9a-b2b4-59d9-812d-77897e48c923      EH1     2118.590  Velocidad imposible
163639  fd789e9a-b2b4-59d9-812d-77897e48c923      CP2     3990.708  Velocidad imposible
163640  fd789e9a-b2b4-59d9-812d-77897e48c923      CP3     4469.758  Velocidad imposible
163641  fd789e9a-b2b4-59d9-812d-77897e48c923      EH2     7096.364  Velocidad imposible
163642  fd789e9a-b2b4-59d9-812d-77897e48c923      CP4     7835.430  Velocidad imposible
163739  16499481-fbf9-5ce6-a627-f874797611ba      CP1     1811.930  Velocidad imposible
163740  16499481-fbf9-5ce6-a627-f874797611ba      EH1     2720.430  Velocidad imposible
163749  26d88625-694b-5087-8cda-7a0645b3be29      EH1     9492.174    Outlier de tiempo
163750  26d88625-694b-5087-8cda-7a0645b3be29      CP2    11868.499    Outlier de tiempo
163790  26d88625-694b-5087-8cda-7a0645b3be29      CP1     2043.740  Velocidad imposible
163831  523b588a-7846-5319-8ce6-b07b728ee8ad      CP1     1799.320  Velocidad imposible
163832  523b588a-7846-5319-8ce6-b07b728ee8ad      EH1     2688.810  Velocidad imposible
163844  496b08ff-62c0-5a60-849f-1a99bcfe0f9e      CP4    12038.455  Velocidad imposible
163845  496b08ff-62c0-5a60-849f-1a99bcfe0f9e  Last km    12191.211  Velocidad imposible
163846  496b08ff-62c0-5a60-849f-1a99bcfe0f9e     Meta    12317.278  Velocidad imposible
163851  496b08ff-62c0-5a60-849f-1a99bcfe0f9e     Meta     8021.787  Velocidad imposible
163853  496b08ff-62c0-5a60-849f-1a99bcfe0f9e      CP1     1684.493  Velocidad imposible
163854  496b08ff-62c0-5a60-849f-1a99bcfe0f9e      EH1     2937.218  Velocidad imposible
163855  496b08ff-62c0-5a60-849f-1a99bcfe0f9e      CP2     4473.892  Velocidad imposible
163857  496b08ff-62c0-5a60-849f-1a99bcfe0f9e      CP3     7756.737  Velocidad imposible
163858  496b08ff-62c0-5a60-849f-1a99bcfe0f9e      EH3     9844.377  Velocidad imposible
163859  496b08ff-62c0-5a60-849f-1a99bcfe0f9e      CP4    10101.180  Velocidad imposible
163860  496b08ff-62c0-5a60-849f-1a99bcfe0f9e   Lastkm    11819.657  Velocidad imposible
163861  496b08ff-62c0-5a60-849f-1a99bcfe0f9e     Meta    11959.319  Velocidad imposible
163872  496b08ff-62c0-5a60-849f-1a99bcfe0f9e      CP1     2128.953  Velocidad imposible
163873  496b08ff-62c0-5a60-849f-1a99bcfe0f9e      EH1     2935.587  Velocidad imposible
163874  496b08ff-62c0-5a60-849f-1a99bcfe0f9e      CP2     3520.580  Velocidad imposible
163875  496b08ff-62c0-5a60-849f-1a99bcfe0f9e      EH2     7021.468  Velocidad imposible
