
=== Evento(s): Marato ===
                                  athlete_id  split  netTime_sec       anomaly_type
327199                              293BC5A6    25K    12469.611  Outlier de tiempo
327200                              293BC5A6    30K    14993.585  Outlier de tiempo
327201                              293BC5A6    35K    17250.569  Outlier de tiempo
327560                              5338BCY5    15K     7198.810  Outlier de tiempo
327561                              5338BCY5    20K    10216.028  Outlier de tiempo
327562                              5338BCY5  Media    10971.094  Outlier de tiempo
331178                              7F1Y58D5    10K     6391.093  Outlier de tiempo
331179                              7F1Y58D5    15K     8345.954  Outlier de tiempo
331180                              7F1Y58D5    20K    10355.762  Outlier de tiempo
331181                              7F1Y58D5    25K    12513.227  Outlier de tiempo
331182                              7F1Y58D5    30K    15139.727  Outlier de tiempo
331183                              7F1Y58D5    35K    17852.103  Outlier de tiempo
331184                              7F1Y58D5   Meta    21606.169  Outlier de tiempo
331185                              7F1Y58D5    40K    20565.000  Outlier de tiempo
333157                              FDCZ4F59    20K     9748.037  Outlier de tiempo
333158                              FDCZ4F59  Media    10365.410  Outlier de tiempo
333159                              FDCZ4F59    25K    12322.776  Outlier de tiempo
333160                              FDCZ4F59    30K    14947.066  Outlier de tiempo
333161                              FDCZ4F59    35K    17642.340  Outlier de tiempo
333162                              FDCZ4F59    40K    20349.148  Outlier de tiempo
333163                              FDCZ4F59   Meta    21414.828  Outlier de tiempo
337539                              553D3833    40K    20193.256  Outlier de tiempo
337540                              553D3833   Meta    21416.259  Outlier de tiempo
339170                              9669FA56     5K      710.970  Outlier de tiempo
341947                              FDY7687A     5K     2740.606  Outlier de tiempo
341961                              2CYB4F8C    10K     4677.630  Outlier de tiempo
341962                              2CYB4F8C    15K     7037.438  Outlier de tiempo
341963                              2CYB4F8C    20K     9395.332  Outlier de tiempo
341964                              2CYB4F8C  Media    10441.993  Outlier de tiempo
341965                              2CYB4F8C    25K    12467.819  Outlier de tiempo
341966                              2CYB4F8C    35K    17697.199  Outlier de tiempo
341967                              2CYB4F8C    40K    20590.815  Outlier de tiempo
341968                              2CYB4F8C   Meta    21773.118  Outlier de tiempo
342817                              56Y27538     5K     2427.691  Outlier de tiempo
342818                              56Y27538    10K     4716.177  Outlier de tiempo
342819                              56Y27538    15K     7182.656  Outlier de tiempo
342820                              56Y27538    20K     9749.182  Outlier de tiempo
342821                              56Y27538  Media    10389.663  Outlier de tiempo
342822                              56Y27538    25K    12462.757  Outlier de tiempo
342823                              56Y27538    30K    15327.857  Outlier de tiempo
342824                              56Y27538    40K    20481.034  Outlier de tiempo
342825                              56Y27538   Meta    21693.436  Outlier de tiempo
343173                              5FAA6FCC     5K     2339.861  Outlier de tiempo
343174                              5FAA6FCC    10K     4780.580  Outlier de tiempo
343175                              5FAA6FCC    15K     7325.662  Outlier de tiempo
343176                              5FAA6FCC    20K     9859.224  Outlier de tiempo
343177                              5FAA6FCC  Media    10473.025  Outlier de tiempo
343178                              5FAA6FCC    25K    12755.805  Outlier de tiempo
345299                              C2DDYBBY     5K     2340.309  Outlier de tiempo
345300                              C2DDYBBY    10K     4811.817  Outlier de tiempo
345301                              C2DDYBBY    15K     7480.847  Outlier de tiempo
345302                              C2DDYBBY    20K    10266.820  Outlier de tiempo
345303                              C2DDYBBY  Media    10917.421  Outlier de tiempo
348228                              21523B13   Meta    22266.075  Outlier de tiempo
349692                              11BY2756    15K     7040.686  Outlier de tiempo
350236                              6Y639ZY4    10K     5843.940  Outlier de tiempo
350237                              6Y639ZY4    15K     7565.040  Outlier de tiempo
350865                              6F3Y7YA4     5K     2390.330  Outlier de tiempo
350866                              6F3Y7YA4    10K     4906.256  Outlier de tiempo
351328                              CD4C63Z6    30K    15035.097  Outlier de tiempo
351329                              CD4C63Z6    40K    20607.673  Outlier de tiempo
351330                              CD4C63Z6   Meta    21571.880  Outlier de tiempo
351394                              1FC1DDD7    35K    17349.268  Outlier de tiempo
351395                              1FC1DDD7    40K    20528.595  Outlier de tiempo
351396                              1FC1DDD7   Meta    21934.648  Outlier de tiempo
353427                              F1A234YC    15K     7027.352  Outlier de tiempo
353428                              F1A234YC    20K     9604.635  Outlier de tiempo
353429                              F1A234YC  Media    10196.642  Outlier de tiempo
353430                              F1A234YC    25K    12400.825  Outlier de tiempo
353431                              F1A234YC    30K    15360.092  Outlier de tiempo
353432                              F1A234YC    35K    18060.365  Outlier de tiempo
353433                              F1A234YC    40K    20723.956  Outlier de tiempo
353434                              F1A234YC   Meta    21850.280  Outlier de tiempo
353688                              19471CYD    35K    17330.123  Outlier de tiempo
354106                              YZ181Z8B    10K     5959.007  Outlier de tiempo
354107                              YZ181Z8B    15K     8067.183  Outlier de tiempo
354108                              YZ181Z8B    20K    10118.625  Outlier de tiempo
354109                              YZ181Z8B    25K    12268.798  Outlier de tiempo
354293                              4ZFAA6DD    25K    11920.834  Outlier de tiempo
354777                              7B6ZYCZC     5K     2358.155  Outlier de tiempo
354778                              7B6ZYCZC    10K     4716.005  Outlier de tiempo
354779                              7B6ZYCZC    15K     7182.634  Outlier de tiempo
354780                              7B6ZYCZC    20K     9747.315  Outlier de tiempo
354781                              7B6ZYCZC  Media    10275.585  Outlier de tiempo
355200                              1YDDD11F    10K     4805.561  Outlier de tiempo
355201                              1YDDD11F    15K     7119.370  Outlier de tiempo
355202                              1YDDD11F    20K     9388.261  Outlier de tiempo
355203                              1YDDD11F  Media     9985.328  Outlier de tiempo
355204                              1YDDD11F    25K    11983.758  Outlier de tiempo
355205                              1YDDD11F    30K    14854.108  Outlier de tiempo
355206                              1YDDD11F    35K    17570.108  Outlier de tiempo
355207                              1YDDD11F    40K    20332.406  Outlier de tiempo
355208                              1YDDD11F   Meta    21499.064  Outlier de tiempo
355349                              3FFA1D79     5K     2391.886  Outlier de tiempo
355350                              3FFA1D79    10K     4904.769  Outlier de tiempo
355351                              3FFA1D79    15K     7109.555  Outlier de tiempo
355775                              738YZ454    25K    11883.163  Outlier de tiempo
357751                              YC8Z7ZAC    35K    17914.524  Outlier de tiempo
357752                              YC8Z7ZAC    40K    20665.313  Outlier de tiempo
357753                              YC8Z7ZAC   Meta    21973.567  Outlier de tiempo
359098                              22Y3A78Z    20K     9542.476  Outlier de tiempo
359099                              22Y3A78Z  Media    10130.483  Outlier de tiempo
